Date,Open
2017-02-02,989.45
2017-02-03,990.0
2017-02-06,990.1
2017-02-07,992.0
2017-02-08,999.3
2017-02-09,999.0
2017-02-10,1005.9
2017-02-13,995.0
2017-02-14,988.0
2017-02-15,981.2
2017-02-16,985.0
2017-02-17,973.0
2017-02-20,961.0
2017-02-21,977.7
2017-02-22,995.1
2017-02-23,1030.0
2017-02-27,1010.0
2017-02-28,1003.1
2017-03-01,1030.0
2017-03-02,1037.9
2017-03-03,1027.05
2017-03-06,1020.0
2017-03-07,1030.55
2017-03-08,1024.0
2017-03-09,1028.5
2017-03-10,1024.1
2017-03-14,1049.8
2017-03-15,1068.0
2017-03-16,1071.25
2017-03-17,1090.25
2017-03-20,1081.8
2017-03-21,1081.95
2017-03-22,1058.0
2017-03-23,1060.0
2017-03-24,1062.8
2017-03-27,1068.0
2017-03-28,1045.0
2017-03-29,1062.0
2017-03-30,1068.1
2017-03-31,1070.0
2017-04-03,1074.7
2017-04-05,1094.0
2017-04-06,1078.4
2017-04-07,1077.0
2017-04-10,1078.4
2017-04-11,1063.7
2017-04-12,1075.5
2017-04-13,1070.45
2017-04-17,1079.55
2017-04-18,1062.4
2017-04-19,1044.0
2017-04-20,1056.0
2017-04-21,1065.9
2017-04-24,1066.1
2017-04-25,1074.7
2017-04-26,1104.9
2017-04-27,1104.9
2017-04-28,1106.6
2017-05-02,1123.1
2017-05-03,1116.0
2017-05-04,1118.9
2017-05-05,1135.0
2017-05-08,1150.0
2017-05-09,1172.45
